Collection Pillar,Recommendation,Sell Priority,Museum Score,Investment Score,Liquidity Score,Duplicate,Duplicate Count,Upgrade Candidate,Needs Grading,Needs Photo,Needs Verification,Verification Notes,Series,Issue Full,Issue,Issue Ext,Title,Edition / Variant,Publisher,Series Group,Age,Release Date,Cover Date,Publication Date,Barcode,Quantity,Location,Current Price,Cover Price,Purchase Price,Purchase Date,Is Key Comic,Key Comic Reason,Key Categories,Story Arc,Crossover,Genres,Slab Status,Grade Rating,Assumed Grade,Signees,Tags,Cover Image URL,CLZ Hash,BP Comic ID,BP Series ID,Added Date,Modified Date,Format,Collection Status,Collection,Read It,Country,Language,Value Locked,Raw XML Index
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified","The Spirit, Vol. 2 (DC)",1A,1,A,Part I,Ladronn Regular Cover,DC Comics,,Modern,"Apr 21, 2010",Jun 2010,Jun 2010,76194128940300111,1,,0.0,3.99,3.99,,No,,,Angel Smerti,First Wave,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/ab/ab_238517_0_TheSpiritVol2DC1APartI.jpg,6ab90bfdf20d48708d0c62d75f3fee30,238517,32253,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1690
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",First Wave (2010),6A,6,A,Conclusion,,DC Comics,,Modern,"Feb 23, 2011","Feb 23, 2011","Feb 23, 2011",76194128941000611,1,,0.0,0.0,0.0,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/bd/bd_272580_0_FirstWave20106AConclusion.jpg,78e3c84f71d949228b066d7170dce997,272580,31496,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1691
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",First Wave (2010),5A,5,A,Book Five,J.G. Jones Regular Cover,DC Comics,,Modern,"Dec 08, 2010",Feb 2011,Feb 2011,76194128941000511,1,,0.0,3.99,3.99,,No,,,,First Wave,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/85/85_261888_0_FirstWave20105ABookFive.jpg,7534db79c9ca4a6a9126a7cac59cba5a,261888,31496,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1692
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",First Wave (2010),4A,4,A,,J.G. Jones Regular Cover,DC Comics,,Modern,"Sep 29, 2010",Nov 2010,Nov 2010,76194128941000411,1,,0.0,3.99,3.99,,No,,,,First Wave,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/f1/f1_254311_0_FirstWave20104A.jpg,105e770dbc7e44c0aaf8138dd13e6ace,254311,31496,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1693
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",First Wave (2010),3A,3,A,Book Three,J.G. Jones Regular Cover,DC Comics,,Modern,"Jul 28, 2010",Sep 2010,Sep 2010,76194128941000311,1,,0.0,3.99,3.99,,No,,,,First Wave,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/43/43_248729_0_FirstWave20103A.jpg,5e4e44e0ae6b469c9dec234012995c3d,248729,31496,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1694
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",First Wave (2010),2A,2,A,Book Two,J.G. Jones Regular Cover,DC Comics,,Modern,"May 12, 2010",Jul 2010,Jul 2010,76194128941000211,1,,0.0,3.99,3.99,,No,,,First Wave,First Wave,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/4b/4b_241348_0_FirstWave20102A.jpg,d7c7ac6f55754f258cca93bc1cb46b84,241348,31496,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1695
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",First Wave (2010),1A,1,A,Book One,J.G. Jones Regular Cover,DC Comics,,Modern,"Mar 03, 2010",May 2010,May 2010,76194128941000111,1,,0.0,3.99,3.99,,No,,,First Wave,First Wave,Action; Adventure; Crime,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/4f/4f_234834_0_FirstWave20101A.jpg,cda9da8f59ff48a9b01c4b70c45b7f23,234834,31496,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1696
General Inventory,Sell / Lot Candidate,High,0,0,10,No,1,No,No,No,Yes,"Assumed NM, not verified",Spirit: The New Adventures,8,8,,Sweetheart,,Kitchen Sink Press,,Modern,Nov 1998,Nov 1998,Nov 1998,9780878165841,1,,0.0,3.5,3.5,,No,,,,,Action; Adventure; Crime,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/90/90_112706_0_Sweetheart.jpg,3afda099c8ba4425bc72b91b4e152057,112706,9806,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,Canada,English,No,1697
General Inventory,Sell / Lot Candidate,High,0,0,10,No,1,No,No,No,Yes,"Assumed NM, not verified",Spirit: The New Adventures,7,7,,Golf Anyone?; The Pacifist; The Ghost of Tiger Traps,,Kitchen Sink Press,,,Oct 1998,Oct 1998,Oct 1998,9780878165834,1,,0.0,3.5,3.5,,No,,,,,Adventure; Crime,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/94/94_112707_0_GolfAnyoneThePacifistTheGhosto.jpg,bff5207644ee4a37af44fd88bf8278e1,112707,9806,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,Canada,English,No,1698
General Inventory,Sell / Lot Candidate,High,0,0,10,No,1,No,No,No,Yes,"Assumed NM, not verified",Spirit: The New Adventures,6,6,,Swami Vashtibubu; Baby Eichberg,,Kitchen Sink Press,,Modern,Sep 1998,Sep 1998,Sep 1998,9780878165827,1,,0.0,3.5,3.5,,No,,,,,Adventure; Crime,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/cf/cf_112705_0_SwamiVashtibubuBabyEichberg.jpg,43ccd7eb129742f7bd1c1c067a53150c,112705,9806,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,Canada,English,No,1699
General Inventory,Sell / Lot Candidate,High,0,0,10,No,1,No,No,No,Yes,"Assumed NM, not verified",Spirit: The New Adventures,5,5,,Cursed Baeuty,,Kitchen Sink Press,,Modern,Jul 1998,Jul 1998,Jul 1998,9780878165810,1,,0.0,3.5,3.5,,No,,,,,Adventure; Crime,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/70/70_112710_0_CursedBaeuty.jpg,44187fe93b57474384df54022a69e0a1,112710,9806,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,Canada,English,No,1700
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Solo,10,10,,Damion Scott,,DC Comics,Solo,Modern,"May 03, 2006","May 03, 2006","May 03, 2006",76194123556101011,1,,0.0,4.99,4.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/a5/a5_128736_0_Solo10DamienScott.jpg,6d1053d812294be795f96446c20aaaa7,128736,9575,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1701
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Shazam! The Monster Society of Evil,4,4,,Chapter 4: Ni Nrmw Nzpvh Srh Nlev!*,,DC Comics,Shazam!,Modern,"Jul 18, 2007",May 2007,May 2007,76194123487800411,1,,0.0,5.99,5.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/55/55_157323_0_ShazamTheMonsterSocietyofEvil4.jpg,f4e9fb880754427a9618e0cdb17786b5,157323,14271,2021-05-22,2026-07-04,Squarebound,In Collection,My comic collection,No,USA,English,No,1702
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Shazam! The Monster Society of Evil,3,3,,Chapter 3: Hrezmz Xlnvh Lm Hgilmt!*,,DC Comics,Shazam!,Modern,"May 02, 2007",May 2007,May 2007,76194123487800311,1,,0.0,5.99,5.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/20/20_148585_0_Chapter3HrezmzXlnvhLmHgilmt.jpg,546b9546dbe646318d62642089ded6c3,148585,14271,2021-05-22,2026-07-04,Squarebound,In Collection,My comic collection,No,USA,English,No,1703
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Shazam! The Monster Society of Evil,2,2,,Chapter 2: Nzib Gzpvh Gsv Xzpv!*,,DC Comics,Shazam!,Modern,"Mar 07, 2007",Apr 2007,Apr 2007,76194123487800211,1,,0.0,5.99,5.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/e5/e5_144414_0_ShazamTheMonsterSocietyofEvil2.jpg,870c7475c5894aa19b6cad3a82562c2b,144414,14271,2021-05-22,2026-07-04,Squarebound,In Collection,My comic collection,No,USA,English,No,1704
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Shazam! The Monster Society of Evil,1,1,,Chapter 1: Yroob Szh Z Hvxivg!*,,DC Comics,Shazam!,Modern,"Feb 07, 2007",Mar 2007,Mar 2007,76194123487800111,1,,0.0,5.99,5.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/4a/4a_143774_0_ShazamTheMonsterSocietyofEvil1.jpg,c65194ec381a4338b10b830412ef7031,143774,14271,2021-05-22,2026-07-04,Squarebound,In Collection,My comic collection,No,USA,English,No,1705
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Shazam! The New Beginning,1,1,,Shazam the New Beginning,,DC Comics,,Modern,Apr 1987,Apr 1987,Apr 1987,0709893223204,1,,0.0,0.75,0.75,,No,,,,,Adventure,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/16/16_108869_0_SHAZAMTheNewBeginningpart1.jpg,84ccbaad136f43768eee683fcd20427e,108869,9351,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1706
General Inventory,Sell / Lot Candidate,High,0,10,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Convergence: Shazam,1B,1,B,Return of the Thunder,Chip Kidd w/ Kurt Schaffenberger Variant Cover,DC Comics,,Modern,"Apr 29, 2015",Jun 2015,Jun 2015,76194132605400121,1,13,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/21/21_397155_0_.jpg,b5d102fc39b746509ed7d898178f8675,397155,60449,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1707
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified; Missing barcode",Martian Manhunter: American Secrets,3,3,,,,DC Comics,,Modern,"Oct 06, 1992",1992,1992,,1,,0.0,4.95,4.95,,No,,,,,Adventure,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/8d/8d_68112_0_.jpg,83852bdab3154d2888f3916464b0ccec,68112,5796,2021-05-22,2026-07-04,Squarebound,In Collection,My comic collection,No,USA,English,No,1708
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified; Missing barcode",Martian Manhunter: American Secrets,2,2,,,,DC Comics,,Modern,"Sep 08, 1992",1992,1992,,1,,0.0,4.95,4.95,,No,,,,,Adventure,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/64/64_68111_0_.jpg,0df9d3a020de486584b64cc3815d3ed8,68111,5796,2021-05-22,2026-07-04,Squarebound,In Collection,My comic collection,No,USA,English,No,1709
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified; Missing barcode",Martian Manhunter: American Secrets,1,1,,,,DC Comics,,Modern,"Aug 04, 1992",1992,1992,,1,,0.0,4.95,4.95,,No,,,,,Adventure,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/31/31_68110_0_.jpg,5b0b4fce697d40e19b1a653568b4f6c0,68110,5796,2021-05-22,2026-07-04,Squarebound,In Collection,My comic collection,No,USA,English,No,1710
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified; Missing barcode",Power Pachyderms,1,1,,Power Pachyderms,,Marvel Comics,,Modern,Sep 1989,Sep 1989,Sep 1989,,1,,0.0,1.25,1.25,,No,,,,,Action; Adventure,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/5b/5b_82074_0_PowerPachyderms1PowerPachyderm.jpg,94b5e0761729477c8d9d3da025bd8fdc,82074,6976,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1711
Spider-Man,Verify then Lot,High,40,15,55,No,1,No,No,No,Yes,"Assumed NM, not verified","Marvel Tales, Vol. 2",167,167,,The Wondrous Worlds of Doctor Strange!,,Marvel Comics,Spider-Man,Bronze,Sep 1984,Sep 1984,Sep 1984,0714860247609,1,,0.0,0.6,0.6,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/81/81_69825_0_MarvelTalesVol2167.jpg,a3680cc51e534be18ad85fcdf7af8540,69825,5911,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1713
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Marvel Zombies: Destroy,3,3,,A World Upside Down,,Marvel Comics,,Modern,"Jun 13, 2012",Aug 2012,Aug 2012,75960607757100311,1,,0.0,3.99,3.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/43/43_305080_0_AWorldUpsideDown.jpg,0af960320dc64f9cba14bc8a59b39b0c,305080,44395,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1714
Sci-Fi,Verify then Lot,High,25,0,40,No,1,No,No,No,Yes,"Assumed NM, not verified",Mythos: Captain America,1,1,,Mythos:  Captain America,,Marvel Comics,,Modern,"Jun 25, 2008",Aug 2008,Aug 2008,75960605616300711,1,,0.0,3.99,3.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/ee/ee_187041_0_MythosCaptainAmerica.jpg,4ca0764f2e9b49cd98ccf1e8b13c2fdc,187041,22426,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1715
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Mythos: Fantastic Four,1,1,,Mythos:  Fantastic Four,,Marvel Comics,Fantastic Four,Modern,Dec 2007,Dec 2007,Dec 2007,75960605616300511,1,,0.0,3.99,3.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/3d/3d_165023_0_MythosFantasticFour.jpg,6558d69138c14180a07b5345fc84684c,165023,17617,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1716
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",The Marvels Project,1A,1,A,,Steve Epting Regular Cover,Marvel Comics,,Modern,"Aug 12, 2009",Oct 2009,Oct 2009,75960606726800111,1,,0.0,3.99,3.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/6c/6c_220755_0_TheMarvelsProject1A.jpg,86a502acd76441389b40c7ffe7dd0993,220755,28696,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1717
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Breaking Into Comics the Marvel Way!,1,1,,Street Level / Let It Out / Icarus's Wings / Let Sleeping Devils Lie / It's Not Lupus! / Modern Love,,Marvel Comics,,Modern,"Mar 10, 2010",May 2010,May 2010,75960606548600111,1,,0.0,3.99,3.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/67/67_235387_0_StreetLevelLetItOutIcarussWing.jpg,2908c7ec7c694d96843063cd461f0cc7,235387,31596,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1718
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Breaking Into Comics the Marvel Way!,2,2,,"Fantastic Four: Signals / Hammers and Sinew / Green Dreams / Butterfly Blade / Oh, the Places You'll Go! / Dead Man Talking",,Marvel Comics,,Modern,"Mar 24, 2010",May 2010,May 2010,75960606548600211,1,,0.0,3.99,3.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/07/07_236486_0_FantasticFourSignalsHammersand.jpg,4ccc5d21378f4c1ea904cc3a66b8c664,236486,31596,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1719
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Guardians,1,1,,Reach for the Stars,,Marvel Comics,,Modern,Sep 2004,Sep 2004,Sep 2004,75960605571500111,1,,0.0,2.99,2.99,,No,,,,,Adventure,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/24/24_50519_0_ReachfortheStars.jpg,14083972f4114546a6c743143f0272fd,50519,4294,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1720
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",All-New Doop,1A,1,A,The Real Battle of the Atom,Michael Allred Regular Cover,Marvel Comics,,Modern,"Apr 09, 2014",Jun 2014,Jun 2014,75960608046500111,1,,0.0,3.99,3.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/dd/dd_361566_0_TheRealBattleoftheAtom.jpg,65989c42fa8745ed93a0e40cd1ed4240,361566,54417,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1721
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Figment,5A,5,A,Part Five,First Printing,Marvel Comics,,Modern,"Oct 01, 2014",Dec 2014,Dec 2014,75960608082300511,1,,0.0,3.99,3.99,,No,,,Journey Into Imagination,,Action; Adventure; Children; Fantasy,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/06/06_379070_0_Part5.jpg,61d2df4a135547afbaf8774c456664be,379070,55253,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1722
Sci-Fi,Verify then Lot,High,25,0,40,No,1,No,No,No,Yes,"Assumed NM, not verified",Big Thunder Mountain Railroad,1A,1,A,,,Marvel Comics,,Modern,"Mar 18, 2015","Mar 18, 2015","Mar 18, 2015",75960608176900111,1,,0.0,3.99,3.99,,No,,,,,Children,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/50/50_393754_0_BigThunderMountainRailroad1A.jpg,9bd7893cbee940829e38c44fdc9564da,393754,59813,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1723
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified","Howard the Duck, Vol. 4",3A,3,A,Nothing's Gonna Touch You in These Golden Years / Double's Jeopardy,Regular Joe Quinones Cover,Marvel Comics,Howard the Duck,Modern,"May 13, 2015",Jul 2015,Jul 2015,75960608195000311,1,,0.0,3.99,3.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/e2/e2_400232_0_NothingsGonnaTouchYouinTheseGo.jpg,f12eb675a8f4465795fdfd923c97a63d,400232,59814,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1724
General Inventory,Sell / Lot Candidate,High,8,22,35,No,1,No,No,No,Yes,"Assumed NM, not verified",Marvel: Now What,1,1,,,,Marvel Comics,,Modern,"Oct 23, 2013",Dec 2013,Dec 2013,75960607942100111,1,,24.0,3.99,0.0,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/68/68_345031_0_.jpg,7b31558d5a78491abd4c8578327ec994,345031,51450,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1725
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified","Howard the Duck, Vol. 4",2A,2,A,Untitled / Hireable Heroes,Regular Joe Quinones Cover,Marvel Comics,Howard the Duck,Modern,"Apr 08, 2015",Jun 2015,Jun 2015,75960608195000211,1,,0.0,3.99,3.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/f0/f0_397051_0_UntitledHireableHeroes.jpg,0233d869f67240bd83321edfb840b4de,397051,59814,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1727
X-Men,Inventory Review,Medium,33,22,60,No,1,No,No,No,Yes,"Assumed NM, not verified",Mythos: X-Men,1,1,,The X-Men,,Marvel Comics,X-Men,Modern,Mar 2006,Mar 2006,Mar 2006,75960605616300111,1,,20.0,3.99,0.0,,No,,,,,Action; Adventure; Science Fiction; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/3e/3e_131713_0_MythosMarvelComics1TheXMen.jpg,26839cae950d4da8841013579c96b98f,131713,12055,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1728
General Inventory,Sell / Lot Candidate,High,0,0,10,No,1,No,No,No,Yes,"Assumed NM, not verified; Missing barcode",MetaCops!,1,1,,,,Monster Comics,,,,Feb 1991,Feb 1991,,1,,0.0,0.0,0.0,,No,,,,,,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/f0/f0_382370_0_MetaCops1.jpg,c3fe8323769046a389cc1d8fe43b5088,382370,45841,2021-05-22,2026-07-04,,In Collection,My comic collection,No,,,No,1729
General Inventory,Sell / Lot Candidate,High,0,10,35,No,1,No,No,No,Yes,"Assumed NM, not verified; Missing barcode","Namor, The Sub-Mariner",37,37,,When Princely Blood Is Shed,Foil Enhanced Cover,Marvel Comics,Sub-Mariner,Modern,Apr 1993,Apr 1993,Apr 1993,,1,,18.0,2.0,0.0,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/00/00_74682_0_NamortheSubMariner37.png,342f2bc9a978401dac011aebf4d71953,74682,6354,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1731
Sci-Fi,Verify then Lot,High,40,15,40,No,1,No,No,No,Yes,"Assumed NM, not verified",Marvel Comics,1B,1,B,The Human Torch! / The Angel / The Sub-Mariner / The Masked Raider / Jungle Terror / Burning Rubber / Adventures of Ka-Zar,70th Anniversary Edition Jelena Kevic Djurdjevic Regular Cover,Marvel Comics,,Golden,"Aug 12, 2009",Oct 2009,Oct 2009,75960606672800111,1,,0.0,4.99,4.99,,No,,,,,Action; Anthology; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/a5/a5_221508_0_MarvelComics1B.jpg,20f7b06ef86b4c87a3d1a3f9404bb517,221508,5834,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1733
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Marvel Mystery Handbook: 70th Anniversary Special,1,1,,,,Marvel Comics,,Modern,"Sep 30, 2009",Nov 2009,Nov 2009,75960606717600111,1,,0.0,4.99,4.99,,No,,,,,Reference,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/8a/8a_224818_0_.jpg,0f1dc4339ad04290bfe5c3907bcef984,224818,29466,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1734
X-Men,Verify then Lot,High,25,0,55,No,1,No,No,No,Yes,"Assumed NM, not verified","Wolverine, Punisher & Ghost Rider: Official Index of the Marvel Universe",4,4,,,,Marvel Comics,,Modern,"Nov 16, 2011",Jan 2012,Jan 2012,75960607711300411,1,,0.0,3.99,3.99,,No,,,,,Reference,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/2b/2b_291972_0_.jpg,147f6a9220754407b77676e3c4d8b101,291972,41534,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1735
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified; Missing barcode",The History of Marvels: Six Fabulous Decades of the World’s Most Accurate Comics,1,1,,,,Marvel Comics,,Modern,Jun 2000,Jul 2000,Jul 2000,,1,,0.0,0.0,0.0,,No,,,,,Anthology,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/bc/bc_441464_0_.jpg,b0fd5252c011461189dbb905877e13a4,441464,68587,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,,,No,1736
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Code of Honor,2,2,,Book Two: Verdicts,,Marvel Comics,,Modern,"Jan 02, 1997",Mar 1997,Mar 1997,75960603777300211,1,,0.0,5.95,5.95,,No,,,,,Adventure,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/86/86_27592_0_CodeofHonor2.jpg,6dd71c6b89a64e4ebbc01cd0688b355c,27592,2228,2021-05-22,2026-07-04,Squarebound,In Collection,My comic collection,No,USA,English,No,1737
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Code of Honor,4,4,,Book Four: Sirens,,Marvel Comics,,Modern,"Mar 05, 1997",May 1997,May 1997,75960603777300411,1,,0.0,5.95,5.95,,No,,,,,Adventure,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/73/73_27594_0_CodeofHonor4BookFourSirens.jpg,9f35ee481f3940018d3eb84bb6ca5dee,27594,2228,2021-05-22,2026-07-04,Squarebound,In Collection,My comic collection,No,USA,English,No,1738
